species,condition,day,pH,class,mean.CFUs,mean.measured.pH,med.CFUs,med.measured.pH,mean.log.CFUs,med.log.CFUs,dayChar
BC9,BC10,0,7,bacteria,373.2,7.1,373,7.1,2.571941635074462,2.571708831808688,0
BC9,BC10,3,5,bacteria,1800000,6.08,130000,6.02,6.2552725051033065,5.113943352306837,3
BC9,BC10,3,7,bacteria,43200000,7.2459999999999996,36000000,7.22,7.635483746814912,7.556302500767287,3
BC9,BC10,10,5,bacteria,4520000,6.582,4200000,6.57,6.6551384348113825,6.623249290397901,10
BC9,BC10,10,7,bacteria,25920000,7.524,29000000,7.44,7.413634997198556,7.4623979978989565,10
BC9,BC10,21,5,bacteria,21180000,6.79,11500000,6.77,7.325925955771466,7.060697840353612,21
BC9,BC10,21,7,bacteria,41600000,7.734,45000000,7.67,7.619093330626742,7.653212513775344,21
BC9,JB5,0,5,bacteria,373.2,5.86,373,5.86,2.571941635074462,2.571708831808688,0
BC9,JB5,0,7,bacteria,373.2,7.1,373,7.1,2.571941635074462,2.571708831808688,0
BC9,JB5,3,5,bacteria,1134600,5.986,680000,6.02,6.054842779228683,5.832508912706237,3
BC9,JB5,3,7,bacteria,201600000,7.224,195000000,7.2,8.304490527773488,8.290034611362518,3
BC9,JB5,10,5,bacteria,26880000,6.112,28000000,6.09,7.429429264381787,7.447158031342219,10
BC9,JB5,10,7,bacteria,261600000,7.628,280000000,7.57,8.41763773965223,8.44715803134222,10
BC9,JB5,21,5,bacteria,28200000,6.104,29000000,6.13,7.450249108319361,7.4623979978989565,21
BC9,JB5,21,7,bacteria,281200000,7.944,330000000,7.87,8.449015316347786,8.518513939877888,21
BC9,JB7,0,5,bacteria,373.2,5.86,373,5.86,2.571941635074462,2.571708831808688,0
BC9,JB7,0,7,bacteria,373.2,7.1,373,7.1,2.571941635074462,2.571708831808688,0
BC9,JB7,3,5,bacteria,1577800,5.984,880000,6.02,6.198051951724344,5.944482672150168,3
BC9,JB7,3,7,bacteria,165000000,7.202,123000000,7.17,8.217483944213907,8.089905111439398,3
BC9,JB7,10,5,bacteria,91950000,6.125,24700000,6.105,7.963551733574096,7.392696953259666,10
BC9,JB7,10,7,bacteria,302800000,7.62,289000000,7.54,8.481155870828035,8.460897842756548,10
BC9,JB7,21,5,bacteria,22875000,6.1025,22000000,6.109999999999999,7.359361102738486,7.342422680822207,21
BC9,JB7,21,7,bacteria,360200000,7.924,400000000,7.81,8.556543708483515,8.602059991327963,21
BC9,JBC,0,5,bacteria,373.2,5.86,373,5.86,2.571941635074462,2.571708831808688,0
BC9,JBC,0,7,bacteria,373.2,7.1,373,7.1,2.571941635074462,2.571708831808688,0
BC9,JBC,3,5,bacteria,32160000,6.136,23800000,6.17,7.507316040076414,7.376576957056512,3
BC9,JBC,3,7,bacteria,356000000,7.172,300000000,7.07,8.551449997972876,8.477121254719663,3
BC9,JBC,10,5,bacteria,7200000,6.87,7400000,6.81,6.857332496431268,6.869231719730976,10
BC9,JBC,10,7,bacteria,145250000,6.7725,161500000,6.73,8.162116141062368,8.208172526667122,10
BC9,JBC,21,5,bacteria,14260000,7.588,5100000,7.76,7.1541195255158465,6.707570176097937,21
BC9,JBC,21,7,bacteria,168800000,7.874,208000000,7.84,8.227372442289637,8.318063334962762,21
BC9,JB370,0,5,bacteria,373.2,5.86,373,5.86,2.571941635074462,2.571708831808688,0
BC9,JB370,0,7,bacteria,373.2,7.1,373,7.1,2.571941635074462,2.571708831808688,0
BC9,JB370,3,5,bacteria,11980000,5.988,6700000,5.95,7.078456818053293,6.826074802700826,3
BC9,JB370,3,7,bacteria,229000000,7.244,227000000,7.17,8.359835482339887,8.356025857193123,3
