"spec","cond","pH","rep","day","count","dilution","cfus","measured.pH","class"
"JB7","135E",7,1,3,213,-4,21300000,7.12,"bacteria"
"JB7","JBC",7,1,3,156,-5,1.56e+08,6.76,"bacteria"
"JB7","JB370",7,1,3,148,-5,1.48e+08,7.09,"bacteria"
"JB7","community",7,1,3,20,-5,2e+07,7.13,"bacteria"
"135E","alone",7,1,3,326,-3,3260000,7.07,"fungi"
"135E","BC9",7,1,3,286,-3,2860000,7.18,"fungi"
"135E","BC10",7,1,3,37,-4,3700000,7.26,"fungi"
"135E","JB5",7,1,3,295,-3,2950000,7.12,"fungi"
"135E","JB7",7,1,3,43,-4,4300000,7.12,"fungi"
"135E","JBC",7,1,3,294,-3,2940000,6.74,"fungi"
"135E","community",7,1,3,74,-4,7400000,7.13,"fungi"
"JBC","alone",7,1,3,56,-1,5600,6.67,"fungi"
"JBC","BC9",7,1,3,52,0,520,6.98,"fungi"
"JBC","BC10",7,1,3,37,-1,3700,7.03,"fungi"
"JBC","JB5",7,1,3,61,-1,6100,6.72,"fungi"
"JBC","JB7",7,1,3,36,-1,3600,6.76,"fungi"
"JBC","135E",7,1,3,68,-1,6800,6.74,"fungi"
"JBC","JB370",7,1,3,37,-1,3700,6.77,"fungi"
"JBC","community",7,1,3,19,0,190,7.13,"fungi"
"JB370","alone",7,1,3,133,0,1330,7.14,"fungi"
"JB370","BC9",7,1,3,79,0,790,7.16,"fungi"
"JB370","BC10",7,1,3,30,0,300,7.15,"fungi"
"JB370","JB5",7,1,3,93,0,930,7.14,"fungi"
"JB370","JB7",7,1,3,69,0,690,7.09,"fungi"
"JB370","135E",7,1,3,14,0,140,7.07,"fungi"
"JB370","JBC",7,1,3,3,0,30,6.77,"fungi"
"JB370","community",7,1,3,16,0,160,7.13,"fungi"
"BC9","BC10",5,1,10,4,-5,4e+06,6.44,"bacteria"
"BC9","JB5",5,1,10,28,-5,2.8e+07,5.96,"bacteria"
"BC9","135E",5,1,10,95,-5,9.5e+07,6.73,"bacteria"
"BC9","JBC",5,1,10,13,-5,1.3e+07,6.63,"bacteria"
"BC9","JB370",5,1,10,57,-6,5.7e+08,7.43,"bacteria"
"BC9","community",5,1,10,24,-4,2400000,6.37,"bacteria"
"BC10","alone",5,1,10,77,-5,7.7e+07,6.41,"bacteria"
"BC10","BC9",5,1,10,61,-5,6.1e+07,6.44,"bacteria"
"BC10","JB5",5,1,10,77,-5,7.7e+07,6.45,"bacteria"
"BC10","JB7",5,1,10,96,-5,9.6e+07,6.47,"bacteria"
"BC10","135E",5,1,10,53,-5,5.3e+07,6.76,"bacteria"
"BC10","JBC",5,1,10,37,-5,3.7e+07,6.51,"bacteria"
"BC10","JB370",5,1,10,299,-5,2.99e+08,7.26,"bacteria"
"BC10","community",5,1,10,210,-4,2.1e+07,6.37,"bacteria"
"JB5","alone",5,1,10,139,-1,13900,5.71,"bacteria"
"JB5","BC9",5,1,10,16,-1,1600,5.96,"bacteria"
"JB5","BC10",5,1,10,23,-5,2.3e+07,6.45,"bacteria"
"JB5","JB7",5,1,10,105,-1,10500,5.94,"bacteria"
"JB5","135E",5,1,10,1000,-5,1e+09,6.86,"bacteria"
"JB5","JBC",5,1,10,1,0,10,6.55,"bacteria"
"JB5","JB370",5,1,10,243,-4,24300000,7.1,"bacteria"
"JB5","community",5,1,10,10,-5,1e+07,6.37,"bacteria"
"JB7","alone",5,1,10,3,-1,300,5.95,"bacteria"
"JB7","BC9",5,1,10,2,-1,200,5.95,"bacteria"
"JB7","BC10",5,1,10,23,-5,2.3e+07,6.47,"bacteria"
"JB7","JB5",5,1,10,12,0,120,5.94,"bacteria"
"JB7","135E",5,1,10,1242,-5,1.24e+09,6.8,"bacteria"
"JB7","JBC",5,1,10,6,0,60,6.65,"bacteria"
"JB7","JB370",5,1,10,462,-2,462000,7.07,"bacteria"
"JB7","community",5,1,10,25,-4,2500000,6.37,"bacteria"
"135E","alone",5,1,10,121,-4,12100000,6.78,"fungi"
"135E","BC9",5,1,10,148,-4,14800000,6.73,"fungi"
"135E","BC10",5,1,10,231,-4,23100000,6.76,"fungi"
"135E","JB5",5,1,10,264,-4,26400000,6.86,"fungi"
"135E","JB7",5,1,10,16,-4,1600000,6.8,"fungi"
"135E","JBC",5,1,10,11,-4,1100000,6.29,"fungi"
"135E","JB370",5,1,10,180,-4,1.8e+07,7.38,"fungi"
"135E","community",5,1,10,144,-3,1440000,6.37,"fungi"
"JBC","alone",5,1,10,45,-5,4.5e+07,6.55,"fungi"
"JBC","BC9",5,1,10,69,-5,6.9e+07,6.63,"fungi"
"JBC","BC10",5,1,10,41,-5,4.1e+07,6.51,"fungi"
"JBC","JB5",5,1,10,47,-5,4.7e+07,6.55,"fungi"
"JBC","JB7",5,1,10,58,-5,5.8e+07,6.65,"fungi"
"JBC","135E",5,1,10,20,-5,2e+07,6.29,"fungi"
"JBC","JB370",5,1,10,43,-5,4.3e+07,6.67,"fungi"
"JBC","community",5,1,10,19,-5,1.9e+07,6.37,"fungi"
"JB370","alone",5,1,10,55,-3,550000,NA,"fungi"
"JB370","BC9",5,1,10,102,-3,1020000,7.43,"fungi"
"JB370","BC10",5,1,10,85,-3,850000,7.26,"fungi"
